"","shapeID","adm_pop"
"597","11073933B81813959490559",9022.4392187574
"598","11073933B84038023465214",4185.37601235564
"599","11073933B8406986702049",39198.2538017989
"600","11073933B84070201120860",9730.51416835342
"601","11073933B84134604441294",55019.488556863
"602","11073933B84540479448642",6713.20192815934
"603","11073933B84731947303381",1803.02006484331
"604","11073933B84899821576764",40285.176648921
"605","11073933B84965655320187",1608.28286580769
"606","11073933B85006403177115",13782.1651153595
"607","11073933B85452827288311",28368.5102730069
"608","11073933B85763136770215",260536.258426756
"609","11073933B86182008399249",9728.89884281501
"610","11073933B86347771396196",12035.9811657878
"611","11073933B86451803729489",9622.43599862582
"612","11073933B8745204378686",9023.49101547214
"613","11073933B87561701283327",13613.399424237
"614","11073933B88650008851830",71081.1230168354
"615","11073933B88856800250230",14350.01769619
"616","11073933B88992112068658",13929.3077280851
"617","11073933B89259590288002",12354.8750543005
"618","11073933B89569921726571",6761.00968948711
"619","11073933B89639924187161",6112.27189214807
"620","11073933B89730607795710",10018.1095254365
